id;psc;REGION
1;10300;CZ10
2;14200;CZ10
3;11000;CZ10
4;12800;CZ10
5;14200;CZ10
6;14700;CZ10
7;14200;CZ10
8;14300;CZ10
9;15900;CZ10
10;15900;CZ10
11;19600;CZ10
12;16400;CZ10
13;18200;CZ10
14;15500;CZ10
15;19015;CZ10
16;15400;CZ10
17;15400;CZ10
18;19011;CZ10
19;14900;CZ10
20;10400;CZ10
21;10400;CZ10
22;19016;CZ10
23;14900;CZ10
24;19017;CZ10
25;15521;CZ10
26;10300;CZ10
27;19012;CZ10
28;15300;CZ10
29;25226;CZ10
30;10700;CZ10
31;11000;CZ10
32;14200;CZ10
33;14700;CZ10
34;14000;CZ10
35;14200;CZ10
36;14700;CZ10
37;14000;CZ10
38;14700;CZ10
39;14000;CZ10
40;14200;CZ10
41;14700;CZ10
42;14100;CZ10
43;14800;CZ10
44;14900;CZ10
45;14900;CZ10
46;14300;CZ10
47;14300;CZ10
48;14200;CZ10
49;14800;CZ10
50;15000;CZ10
51;15200;CZ10
52;15400;CZ10
53;15000;CZ10
54;15800;CZ10
55;15000;CZ10
56;15000;CZ10
57;15800;CZ10
58;15000;CZ10
59;16900;CZ10
60;15600;CZ10
61;15521;CZ10
62;15900;CZ10
63;16100;CZ10
64;16100;CZ10
65;16200;CZ10
66;16400;CZ10
67;16000;CZ10
68;16200;CZ10
69;16900;CZ10
70;16200;CZ10
71;16000;CZ10
72;16000;CZ10
73;16200;CZ10
74;16400;CZ10
75;16100;CZ10
76;16300;CZ10
77;16500;CZ10
78;16000;CZ10
79;16000;CZ10
80;16400;CZ10
81;16500;CZ10
82;18100;CZ10
83;18200;CZ10
84;18100;CZ10
85;18400;CZ10
86;18200;CZ10
87;18400;CZ10
88;18600;CZ10
89;18400;CZ10
90;18200;CZ10
91;19000;CZ10
92;19800;CZ10
93;19600;CZ10
94;19600;CZ10
95;19700;CZ10
96;19800;CZ10
97;19800;CZ10
98;19000;CZ10
99;19900;CZ10
100;10200;CZ10
101;10900;CZ10
102;10200;CZ10
103;10900;CZ10
104;10900;CZ10
105;10200;CZ10
106;10800;CZ10
107;10900;CZ10
108;19014;CZ10
109;19300;CZ10
110;19800;CZ10
111;16000;CZ10
112;16000;CZ10
113;16000;CZ10
114;16000;CZ10
115;17000;CZ10
116;17000;CZ10
117;17000;CZ10
118;17000;CZ10
119;16200;CZ10
120;16900;CZ10
121;10200;CZ10
122;10700;CZ10
123;11101;CZ10
124;19000;CZ10
125;19000;CZ10
126;19000;CZ10
127;19000;CZ10
128;19000;CZ10
129;19000;CZ10
130;19800;CZ10
131;19800;CZ10
132;19800;CZ10
133;19800;CZ10
134;19800;CZ10
135;19800;CZ10
136;11800;CZ10
137;11800;CZ10
138;11800;CZ10
139;11800;CZ10
140;17000;CZ10
141;17000;CZ10
142;17000;CZ10
143;17000;CZ10
144;11800;CZ10
145;11800;CZ10
146;11800;CZ10
147;11800;CZ10
148;11900;CZ10
149;11900;CZ10
150;11900;CZ10
151;11900;CZ10
152;16000;CZ10
153;16000;CZ10
154;16000;CZ10
155;16000;CZ10
156;16900;CZ10
157;16900;CZ10
158;16900;CZ10
159;16900;CZ10
160;19000;CZ10
161;15200;CZ10
162;15200;CZ10
163;15500;CZ10
164;15500;CZ10
165;15800;CZ10
166;15800;CZ10
167;18000;CZ10
168;18000;CZ10
169;18000;CZ10
170;18000;CZ10
171;18000;CZ10
172;18000;CZ10
173;18000;CZ10
174;18000;CZ10
175;18000;CZ10
176;18200;CZ10
177;18200;CZ10
178;18200;CZ10
179;18200;CZ10
180;18200;CZ10
181;18200;CZ10
182;18200;CZ10
183;18200;CZ10
184;18200;CZ10
185;19000;CZ10
186;19000;CZ10
187;19000;CZ10
188;19000;CZ10
189;19000;CZ10
190;19000;CZ10
191;19000;CZ10
192;19000;CZ10
193;19000;CZ10
194;10000;CZ10
195;10000;CZ10
196;10000;CZ10
197;10000;CZ10
198;10800;CZ10
199;10800;CZ10
200;10800;CZ10
201;10800;CZ10
202;19000;CZ10
203;19000;CZ10
204;19000;CZ10
205;19000;CZ10
206;11800;CZ10
207;11800;CZ10
208;11800;CZ10
209;11800;CZ10
210;15000;CZ10
211;15000;CZ10
212;15000;CZ10
213;15000;CZ10
214;10100;CZ10
215;10100;CZ10
216;10100;CZ10
217;10100;CZ10
218;10600;CZ10
219;10600;CZ10
220;10600;CZ10
221;10600;CZ10
222;14000;CZ10
223;14000;CZ10
224;14000;CZ10
225;14000;CZ10
226;14100;CZ10
227;14100;CZ10
228;14100;CZ10
229;14100;CZ10
230;11000;CZ10
231;11000;CZ10
232;11000;CZ10
233;11000;CZ10
234;11000;CZ10
235;11000;CZ10
236;11000;CZ10
237;11000;CZ10
238;11000;CZ10
239;12000;CZ10
240;12000;CZ10
241;12000;CZ10
242;12000;CZ10
243;12000;CZ10
244;12000;CZ10
245;12000;CZ10
246;12000;CZ10
247;12000;CZ10
248;12800;CZ10
249;12800;CZ10
250;12800;CZ10
251;12800;CZ10
252;12800;CZ10
253;12800;CZ10
254;12800;CZ10
255;12800;CZ10
256;12800;CZ10
257;18600;CZ10
258;18600;CZ10
259;18600;CZ10
260;18600;CZ10
261;18600;CZ10
262;18600;CZ10
263;18600;CZ10
264;18600;CZ10
265;18600;CZ10
266;12800;CZ10
267;12800;CZ10
268;12800;CZ10
269;12800;CZ10
270;14000;CZ10
271;14000;CZ10
272;14000;CZ10
273;14000;CZ10
274;10400;CZ10
275;15500;CZ10
276;15500;CZ10
277;15800;CZ10
278;15800;CZ10
279;10000;CZ10
280;10000;CZ10
281;10000;CZ10
282;10000;CZ10
283;10100;CZ10
284;10100;CZ10
285;10100;CZ10
286;10100;CZ10
287;10800;CZ10
288;10800;CZ10
289;10800;CZ10
290;10800;CZ10
291;13000;CZ10
292;13000;CZ10
293;13000;CZ10
294;13000;CZ10
295;18000;CZ10
296;18000;CZ10
297;18000;CZ10
298;18000;CZ10
299;18200;CZ10
300;18200;CZ10
301;18200;CZ10
302;18200;CZ10
303;19000;CZ10
304;19000;CZ10
305;19000;CZ10
306;19000;CZ10
307;17100;CZ10
308;17100;CZ10
309;17100;CZ10
310;17100;CZ10
311;18100;CZ10
312;18100;CZ10
313;18100;CZ10
314;18100;CZ10
315;18200;CZ10
316;18200;CZ10
317;18200;CZ10
318;18200;CZ10
319;15500;CZ10
320;15500;CZ10
321;15500;CZ10
322;15521;CZ10
323;15521;CZ10
324;15521;CZ10
325;10000;CZ10
326;10000;CZ10
327;10000;CZ10
328;10000;CZ10
329;10000;CZ10
330;10000;CZ10
331;10000;CZ10
332;10000;CZ10
